,,count,surf_min,surf_max,surf_mean,surf_std,price_min,price_max,price_mean,price_std,pm2_min,pm2_max,pm2_mean,pm2_std
SAN TELMO,house,10,126.0,478.0,304.2,105.77126263782615,210000.0,960000.0,473000.0,202770.80657727827,1075.0,7619.047619047619,1930.0808845774634,1903.0846675219068
SAN TELMO,store,36,35.0,5079.0,570.75,1018.0472422731668,50000.0,4300000.0,637645.7222222222,933581.3671325843,490.90909090909093,2658.227848101266,1488.6266078332933,560.3724435754015
MONSERRAT,PH,13,33.0,196.0,117.92307692307692,56.18439632613796,57000.0,218000.0,144384.61538461538,44699.91991309029,946.7455621301775,1945.945945945946,1397.9652111149674,411.22580301385335
MONSERRAT,apartment,217,24.0,639.0,74.25345622119816,84.71940838000052,802.8,610000.0,126615.40230414747,72470.88630197616,22.299999999999997,5162.452380952381,2065.1011104369727,618.1547598116922
MONSERRAT,house,4,82.0,950.0,427.75,320.19866879798235,159800.0,980000.0,479950.0,303614.89999668987,1031.578947368421,1948.780487804878,1325.1114116503925,372.76828103568266
MONSERRAT,store,31,30.0,894.0,311.3225806451613,252.7828836458434,30000.0,1400000.0,540645.1612903225,409266.8936263015,689.8148148148148,4218.75,2009.951137866569,964.809016895406
BOCA,PH,8,57.0,274.0,126.625,66.45287333893096,85000.0,390000.0,153875.0,95586.92052263218,956.5217391304348,1491.2280701754387,1216.9767563465473,204.1570914009813
BOCA,apartment,67,23.0,291.0,62.417910447761194,39.1785614745598,10141.1,851800.0,115215.55373134327,121141.66575959713,215.76808510638298,21956.7,2130.5883889308766,3008.106820488769
BOCA,house,14,168.0,1038.0,430.7857142857143,212.99871849763008,100000.0,410000.0,241928.57142857142,99730.68326083737,214.59227467811158,1423.3576642335765,678.9667261172261,387.6648283581634
BOCA,store,4,45.0,7722.0,2035.5,3284.704743199912,50000.0,8000000.0,2070000.0,3423937.791490961,521.1726384364821,1111.111111111111,924.4241375636278,235.0189374063726
PARQUE AVELLANEDA,PH,10,40.0,300.0,126.6,91.31067845547967,55000.0,170000.0,114650.0,41081.656490458125,566.6666666666666,1625.0,1162.44363526016,389.88959231503793
PARQUE AVELLANEDA,apartment,15,39.0,140.0,64.66666666666667,24.22303770288845,9500.0,200000.0,104826.66666666667,41020.57153293807,211.11111111111111,2407.4074074074074,1651.2427727584466,534.9659049079096
